date,expiry,T,bates_v0,bates_kappa,bates_theta,bates_sigma_v,bates_rho,bates_lam,bates_muJ,bates_delta,bates_rmse,sabr_rmse,js_rmse
2024-02-16,2024-03-08,0.0575,0.2517,8.0005,0.1482,1.0161,0.4296,0.5068,-0.1822,0.4517,0.002688,0.007097,0.007687
2024-02-23,2024-05-31,0.2683,0.3851,0.9997,0.0967,1.0117,0.3138,0.4997,0.0009,0.0983,0.002646,0.002613,0.002819
2024-02-23,2024-04-26,0.1725,0.4462,2.9815,0.0483,1.9849,0.0116,0.4999,-0.0001,0.0992,0.005222,0.005328,0.005328
2024-02-23,2024-03-29,0.0958,0.0263,7.9246,0.8625,4.053,-0.0087,0.5202,0.1831,0.0001,0.007233,0.006919,0.00692
2024-02-23,2024-06-28,0.345,0.1168,7.9946,0.4771,1.0822,0.5389,0.4999,-0.0001,0.0992,0.004683,0.004961,0.004926
2024-02-23,2024-03-08,0.0383,0.318,7.9092,0.0018,4.082,-0.0783,0.4997,-0.0021,0.098,0.009323,0.00838,0.005598
2024-02-23,2024-03-01,0.0192,0.0218,8.1205,2.6603,1.2883,-0.6966,0.6302,0.2294,0.0001,0.003021,0.009749,0.003082
2024-02-23,2024-03-15,0.0575,0.0119,7.9658,1.3303,5.0,-0.0525,0.4895,-0.0908,0.0001,0.006831,0.005933,0.004126
2024-03-01,2024-03-08,0.0192,0.4028,7.8984,0.0585,4.78,-0.0029,0.3614,0.3467,0.1284,0.015791,0.02027,0.010972
2024-03-01,2024-03-15,0.0383,0.4443,7.959,0.3064,4.0883,0.0894,0.4999,-0.0001,0.0994,0.00561,0.004909,0.005887
2024-03-01,2024-03-22,0.0575,0.435,2.9536,0.4233,3.3819,0.0198,0.4999,-0.0002,0.0994,0.004488,0.003723,0.003803
2024-03-01,2024-03-29,0.0767,0.4372,2.9467,0.3709,2.8555,0.1549,0.4999,0.0001,0.0994,0.012214,0.011941,0.011941
2024-03-01,2024-04-26,0.1533,0.4265,0.9466,0.4614,1.9166,0.1175,0.4999,-0.0001,0.0994,0.005064,0.004971,0.004987
2024-03-01,2024-05-31,0.2491,0.3829,2.9966,0.4826,1.0379,0.4002,0.4999,-0.0001,0.0992,0.004798,0.004669,0.004495
2024-03-01,2024-06-28,0.3258,0.5292,2.8972,0.3127,1.9028,0.0808,0.4999,-0.0,0.099,0.004704,0.004703,0.004708
2024-03-08,2024-05-31,0.23,0.433,7.9946,0.4883,1.1232,0.6565,0.4999,-0.0001,0.0991,0.008972,0.008851,0.008942
