date,expiry,T,T_bucket,beta,sabr_rmse,js_rmse
2025-01-03,2025-01-24,0.0574948665297741,Short,0.5,0.4492367650532788,
2025-01-03,2025-01-24,0.0574948665297741,Short,0.7,0.28671330610308005,0.27552258263499946
2025-01-03,2025-01-24,0.0574948665297741,Short,1.0,0.006138471548310201,0.006140311041698677
2026-02-27,2026-03-06,0.0191649555099247,Short,0.5,0.4023279463939429,0.2502218142475286
2026-02-27,2026-03-06,0.0191649555099247,Short,0.7,0.23687190297864394,0.07399860367159702
2026-02-27,2026-03-06,0.0191649555099247,Short,1.0,0.013981416085647071,0.013981426522021917
2025-12-26,2026-01-16,0.0574948665297741,Short,0.5,0.31990252633303345,0.057517324320397155
2025-12-26,2026-01-16,0.0574948665297741,Short,0.7,0.16809626481556114,0.045645524531407154
2025-12-26,2026-01-16,0.0574948665297741,Short,1.0,0.009095160937471094,0.009096271554878533
2025-06-27,2025-07-11,0.0383299110198494,Short,0.5,0.27217893211798033,0.10868899317536831
2025-06-27,2025-07-11,0.0383299110198494,Short,0.7,0.13145025027468824,0.021063759886322184
2025-06-27,2025-07-11,0.0383299110198494,Short,1.0,0.0031465689988757783,0.003149042508081187
2025-01-03,2025-01-31,0.0766598220396988,Short,0.5,0.4448951534174758,
2025-01-03,2025-01-31,0.0766598220396988,Short,0.7,0.2681624572936138,0.2598054999046152
2025-01-03,2025-01-31,0.0766598220396988,Short,1.0,0.007594560602239375,0.007595594249239073
2025-09-26,2025-10-17,0.0574948665297741,Short,0.5,0.26417668836150027,
2025-09-26,2025-10-17,0.0574948665297741,Short,0.7,0.12193708377571656,0.07243092053572125
2025-09-26,2025-10-17,0.0574948665297741,Short,1.0,0.004059849143357878,0.004061954120435149
2025-11-28,2025-12-26,0.0766598220396988,Short,0.5,0.3151119446437237,
2025-11-28,2025-12-26,0.0766598220396988,Short,0.7,0.15497829352489847,0.13009909382458662
2025-11-28,2025-12-26,0.0766598220396988,Short,1.0,0.009661884627854276,0.009648659918874408
2025-06-13,2025-06-20,0.0191649555099247,Short,0.5,0.3433119749223721,
2025-06-13,2025-06-20,0.0191649555099247,Short,0.7,0.19559555388466543,
2025-06-13,2025-06-20,0.0191649555099247,Short,1.0,0.018492439805066593,0.018403838741390444
2025-10-03,2025-10-17,0.0383299110198494,Short,0.5,0.28576570717375427,
2025-10-03,2025-10-17,0.0383299110198494,Short,0.7,0.1493748543564384,0.028870484660876727
2025-10-03,2025-10-17,0.0383299110198494,Short,1.0,0.017016845479132917,0.01701684846030708
2025-03-07,2025-03-28,0.0574948665297741,Short,0.5,0.4120597521823314,
2025-03-07,2025-03-28,0.0574948665297741,Short,0.7,0.23804797926823715,0.11493797509428653
2025-03-07,2025-03-28,0.0574948665297741,Short,1.0,0.009362829901082894,0.009364316226788775
2024-06-21,2024-07-12,0.0574948665297741,Short,0.5,0.3276262980891771,0.12587079938896412
2024-06-21,2024-07-12,0.0574948665297741,Short,0.7,0.1557967466345376,0.04595141918149813
2024-06-21,2024-07-12,0.0574948665297741,Short,1.0,0.004076913571664688,0.004080442576188358
2024-10-11,2024-10-18,0.0191649555099247,Short,0.5,0.33089564076702543,0.23804548260142325
2024-10-11,2024-10-18,0.0191649555099247,Short,0.7,0.15359246922970532,0.049085550996286184
2024-10-11,2024-10-18,0.0191649555099247,Short,1.0,0.007985404248569973,0.007975552853052927
2025-01-31,2025-02-07,0.0191649555099247,Short,0.5,0.38481557564589375,0.2666045429154975
2025-01-31,2025-02-07,0.0191649555099247,Short,0.7,0.22468072877465498,0.0909683551797133
2025-01-31,2025-02-07,0.0191649555099247,Short,1.0,0.008002717721674817,0.007976417716052836
2024-10-18,2024-10-25,0.0191649555099247,Short,0.5,0.3885596764751572,
2024-10-18,2024-10-25,0.0191649555099247,Short,0.7,0.21643549286803898,
2024-10-18,2024-10-25,0.0191649555099247,Short,1.0,0.02737136237342302,0.02737136306314372
2025-02-14,2025-02-21,0.0191649555099247,Short,0.5,0.3526516304276126,
2025-02-14,2025-02-21,0.0191649555099247,Short,0.7,0.19039201504810999,0.08621113896347048
2025-02-14,2025-02-21,0.0191649555099247,Short,1.0,0.007632392799552076,0.007633124900437649
2024-04-05,2024-04-12,0.0191649555099247,Short,0.5,0.5414929209889979,0.35884280125504675
2024-04-05,2024-04-12,0.0191649555099247,Short,0.7,0.3614674510783036,0.1617210806718254
2024-04-05,2024-04-12,0.0191649555099247,Short,1.0,0.018252450873446804,0.018244591194801024
2025-11-14,2025-12-05,0.0574948665297741,Short,0.5,0.3425981572849878,0.10344992782213225
2025-11-14,2025-12-05,0.0574948665297741,Short,0.7,0.18705867622515507,0.0647892443118272
2025-11-14,2025-12-05,0.0574948665297741,Short,1.0,0.010485095418944521,0.010477056368799836
2024-06-28,2024-07-12,0.0383299110198494,Short,0.5,0.28856324706332775,0.03900676728604097
2024-06-28,2024-07-12,0.0383299110198494,Short,0.7,0.11919249636394386,0.04676395812857813
2024-06-28,2024-07-12,0.0383299110198494,Short,1.0,0.007604358535823567,0.007604728681268318
