date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-03-08,2024-06-28,0.3066,0.562,1.0245,-0.1,0.4603,0.012761,0.009165,0.009165
2024-03-08,2024-03-22,0.0383,0.4539,13.7759,0.1003,0.1584,0.020923,0.016946,0.016252
2024-03-08,2024-03-29,0.0575,0.4128,20.0,0.1018,0.13,0.043351,0.039605,0.036173
2024-03-15,2024-03-22,0.0192,0.7451,0.0817,-0.0998,2.0,0.027169,0.016124,0.013376
2024-03-15,2024-04-05,0.0575,0.6847,0.9818,-0.1,0.2922,0.011781,0.008694,0.0081
2024-03-15,2024-04-26,0.115,0.6494,1.0075,-0.1,0.4677,0.012999,0.012311,0.012215
2024-03-15,2024-05-31,0.2108,0.6582,1.0299,0.1,0.4513,0.007583,0.007643,0.007483
2024-03-15,2024-06-28,0.2875,0.5994,1.0333,0.1,0.5693,0.004998,0.004493,0.004493
2024-03-22,2024-05-31,0.1916,0.596,1.0383,0.1,0.5866,0.005044,0.004165,0.004221
2024-03-22,2024-04-12,0.0575,0.6362,0.9975,-0.1,0.3278,0.016517,0.010372,0.01943
2024-03-22,2024-04-26,0.0958,0.6551,1.0024,-0.1,0.4354,0.005967,0.005685,0.005685
2024-03-22,2024-04-05,0.0383,0.6731,0.0395,-0.1,2.0,0.011756,0.007576,0.007335
2024-03-29,2024-04-05,0.0192,0.5637,3.1268,-0.0999,0.1683,0.028261,0.021049,0.018878
2024-03-29,2024-04-12,0.0383,0.6204,0.989,-0.1,0.2777,0.009706,0.010178,0.010042
2024-03-29,2024-04-19,0.0575,0.65,0.9941,0.1,0.2434,0.010255,0.011476,0.009175
2024-03-29,2024-04-26,0.0767,0.6314,1.0072,-0.1,0.4815,0.015184,0.007578,0.007578
2024-03-29,2024-05-31,0.1725,0.6409,1.0299,0.1,0.4675,0.006997,0.006465,0.006467
2024-03-29,2024-06-28,0.2491,0.7217,1.0084,-0.1,0.2653,0.010223,0.006844,0.006661
2024-04-05,2024-04-12,0.0192,0.6095,0.9838,-0.1,0.2641,0.022759,0.018252,0.018398
2024-04-05,2024-04-19,0.0383,0.6283,0.9931,0.1,0.3166,0.008302,0.007877,0.006057
