instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-24APR26-57000-C,BTC,2026-04-24,57000.0,C,0.10518878022821761,74048.85,0.6358,0.5911,0.6705,0.2392,10.2,0.0,0.7697621232470186
BTC-24APR26-58000-C,BTC,2026-04-24,58000.0,C,0.10518876876010849,74055.11,0.6241,0.0,0.6616,0.2268,22.0,0.0,0.7832005110788438
BTC-24APR26-59000-C,BTC,2026-04-24,59000.0,C,0.10518875470416002,74048.89,0.6128,0.5867,0.6443000000000001,0.2146,14.8,0.0,0.796770890151088
BTC-24APR26-60000-C,BTC,2026-04-24,60000.0,C,0.10518874191174234,74043.03,0.6018,0.5799,0.6329,0.2025,70.5,0.0,0.8103396092785506
BTC-24APR26-61000-C,BTC,2026-04-24,61000.0,C,0.10518872949248359,74041.81,0.591,0.5621,0.6187,0.1905,16.1,0.0,0.8238588440774206
BTC-24APR26-62000-C,BTC,2026-04-24,62000.0,C,0.10518871612777904,74041.81,0.5819,0.5567,0.609,0.179,96.0,0.0,0.8373647267672144
BTC-24APR26-63000-C,BTC,2026-04-24,63000.0,C,0.10518869915712856,74049.18,0.5727,0.5472,0.596,0.1675,41.5,0.0,0.8507859236253529
BTC-24APR26-64000-C,BTC,2026-04-24,64000.0,C,0.10518868208057648,74049.18,0.5633,0.5418,0.5872999999999999,0.1563,198.1,0.0,0.8642904620955966
BTC-24APR26-65000-C,BTC,2026-04-24,65000.0,C,0.10518867053185287,74049.5,0.5555,0.5332,0.5759000000000001,0.1456,102.6,0.0,0.8777912072329995
BTC-24APR26-66000-C,BTC,2026-04-24,66000.0,C,0.10518865774780085,74049.5,0.5484,0.5268999999999999,0.5672,0.1351,441.7,0.0,0.8912956873442764
BTC-24APR26-67000-C,BTC,2026-04-24,67000.0,C,0.10518864595938854,74041.72,0.5402,0.5278,0.5564,0.1248,421.9,0.1,0.9048952401429896
BTC-24APR26-68000-C,BTC,2026-04-24,68000.0,C,0.10518863318243465,74033.55,0.5342,0.5203,0.5475,0.1152,974.9,0.0,0.9185024897495797
BTC-24APR26-69000-C,BTC,2026-04-24,69000.0,C,0.10518862058027227,74033.55,0.5278,0.5178,0.5352,0.1058,347.6,0.0,0.9320098793047206
BTC-24APR26-70000-C,BTC,2026-04-24,70000.0,C,0.10518860909587548,74025.34,0.5214,0.5124,0.5292,0.0966,3141.6,0.6,0.94562213425835
BTC-24APR26-71000-C,BTC,2026-04-24,71000.0,C,0.10518859578171344,74025.34,0.5149,0.5073,0.5195000000000001,0.088,1026.4,4.1,0.9591310218906121
BTC-24APR26-72000-C,BTC,2026-04-24,72000.0,C,0.10518858322232996,74025.34,0.509,0.5029,0.5147999999999999,0.0798,3092.5,23.3,0.9726399095228743
