date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-03-01,2024-03-29,0.0767,0.4427,2.9467,0.3716,2.8554,0.1543,0.012208,0.011941,0.011941
2024-03-01,2024-04-26,0.1533,0.4319,0.9466,0.4618,1.9165,0.1179,0.005061,0.004971,0.004987
2024-03-01,2024-05-31,0.2491,0.3886,2.9967,0.485,1.0379,0.4006,0.004796,0.004669,0.004495
2024-03-01,2024-06-28,0.3258,0.5354,2.8971,0.3162,1.9025,0.081,0.004701,0.004703,0.004708
2024-03-08,2024-05-31,0.23,0.4372,7.9946,0.4933,1.1233,0.6568,0.008972,0.008851,0.008942
2024-03-08,2024-04-26,0.1342,0.9147,7.8577,0.0083,4.0413,0.0519,0.01572,0.015579,0.015579
2024-03-08,2024-06-28,0.3066,0.4023,8.0059,0.5457,0.0016,-0.3161,0.015322,0.009165,0.009165
2024-03-08,2024-03-22,0.0383,0.5472,7.9606,0.2483,4.1303,0.2101,0.017267,0.016946,0.016252
2024-03-08,2024-03-29,0.0575,0.6039,7.9284,0.1607,4.1136,0.121,0.039161,0.039605,0.036173
2024-03-15,2024-03-22,0.0192,0.6737,7.9934,0.0001,5.0,-0.0274,0.036791,0.016124,0.013376
2024-03-15,2024-04-05,0.0575,0.6955,7.9659,0.1777,4.1321,-0.1735,0.008476,0.008694,0.0081
2024-03-15,2024-04-26,0.115,0.9077,7.9536,0.0573,3.1651,-0.0247,0.012099,0.012311,0.012215
2024-03-15,2024-05-31,0.2108,0.7782,3.0008,0.0911,1.0107,0.0905,0.007667,0.007643,0.007483
2024-03-15,2024-06-28,0.2875,0.7987,7.9992,0.4947,1.0113,0.0663,0.008519,0.004493,0.004493
2024-03-22,2024-05-31,0.1916,0.733,3.0019,0.0786,1.014,0.3523,0.004252,0.004165,0.004221
2024-03-22,2024-04-12,0.0575,0.6665,7.876,0.0711,4.6446,-0.1888,0.010981,0.010372,0.01943
2024-03-22,2024-04-26,0.0958,0.8429,7.9481,0.0001,2.9756,0.0043,0.00567,0.005685,0.005685
